X_id,Year,BranchCode,Sessions
1,2012,AB,132024
2,2012,ACD,131353
3,2012,AD,16279
4,2012,AG,140407
5,2012,AH,11895
6,2012,AN,36663
7,2012,AP,18961
8,2012,BB,19784
9,2012,BC,25755
10,2012,BD,19911
11,2012,BE,45165
12,2012,BF,101666
13,2012,BL,177112
14,2012,BR,8276
15,2012,BRW,41350
16,2012,BUR,25885
17,2012,CC,18786
18,2012,CE,28740
19,2012,CED,240834
20,2012,CH,30061
21,2012,CL,484789
22,2012,CS,22640
23,2012,DA,35962
24,2012,DM,75424
25,2012,DO,103227
26,2012,DP,40648
27,2012,DR,48770
28,2012,DT,6192
29,2012,DU,54256
30,2012,EA,48329
31,2012,EB,8451
32,2012,EG,30367
33,2012,EN,21394
34,2012,ES,34997
35,2012,FH,20652
36,2012,FP,55771
37,2012,FV,164649
38,2012,GE,21811
39,2012,GHP,46660
40,2012,GW,11027
41,2012,HB,8441
42,2012,HC,23497
43,2012,HIL,32986
44,2012,HP,39306
45,2012,HS,31763
46,2012,HW,31205
47,2012,JD,71573
48,2012,JO,30753
49,2012,JS,46352
50,2012,KE,38399
51,2012,LB,26643
52,2012,LE,25308
53,2012,LO,42570
54,2012,LS,188318
55,2012,MA,35881
56,2012,MAL,165136
57,2012,MAS,132310
58,2012,MCG,39797
59,2012,MI,17454
60,2012,MP,5328
61,2012,MRV,31081
62,2012,MS,34166
63,2012,ND,127600
64,2012,NE,12532
65,2012,NT,26430
66,2012,OV,35837
67,2012,PA,70725
68,2012,PE,10329
69,2012,PK,111474
70,2012,PL,60005
71,2012,PM,21846
72,2012,PU,15438
73,2012,PV,25879
74,2012,QS,12243
75,2012,RD,73429
76,2012,RI,131921
77,2012,RN,69640
78,2012,RX,20822
79,2012,SA,67645
80,2012,SB,631
81,2012,SI,15156
82,2012,SJ,64006
83,2012,SL,23702
84,2012,SP,11709
85,2012,ST,37604
86,2012,SW,2759
87,2012,SWS,129468
88,2012,TA,13881
89,2012,TH,80657
90,2012,TOD,2820
91,2012,TRL,727822
92,2012,VV,14772
93,2012,WE,40117
94,2012,WP,19629
95,2012,WS,105207
96,2012,WY,44020
97,2012,YO,32464
98,2012,YW,172783
99,2013,AB,139402
100,2013,ACD,133591
101,2013,AD,16238
102,2013,AG,180672
103,2013,AH,11250
104,2013,AN,30396
105,2013,AP,17788
106,2013,BB,22950
107,2013,BC,21560
108,2013,BD,22293
109,2013,BE,46488
110,2013,BF,112745
111,2013,BL,171160
112,2013,BR,84403
113,2013,BRW,43375
114,2013,BUR,27563
115,2013,CC,17750
116,2013,CE,29350
117,2013,CED,260191
118,2013,CH,31225
119,2013,CL,545403
120,2013,CS,21563
121,2013,DA,39138
122,2013,DM,81804
123,2013,DO,120176
124,2013,DP,52063
125,2013,DR,49088
126,2013,DT,7000
127,2013,DU,63350
128,2013,EA,43594
129,2013,EB,7575
130,2013,EG,29788
131,2013,EN,25243
132,2013,ES,39200
133,2013,FH,19988
134,2013,FP,59211
135,2013,GE,21888
136,2013,GHP,48736
137,2013,GW,12550
138,2013,HB,8675
139,2013,HC,22513
140,2013,HIL,55275
141,2013,HP,41600
142,2013,HS,30800
143,2013,HW,36038
144,2013,JD,75575
145,2013,JO,28675
146,2013,JS,48988
147,2013,KE,38200
148,2013,LB,26575
149,2013,LE,27025
150,2013,LO,40425
151,2013,LS,189215
152,2013,MA,39548
153,2013,MAL,181120
154,2013,MAS,111379
155,2013,MCG,44723
156,2013,MD,44575
157,2013,MI,21055
158,2013,MP,5675
159,2013,MRV,30713
160,2013,MS,39950
161,2013,ND,117777
162,2013,NE,13700
163,2013,NT,22372
164,2013,OV,34600
165,2013,PA,72263
166,2013,PE,9638
167,2013,PK,128159
168,2013,PL,69688
169,2013,PM,20863
170,2013,PU,16875
171,2013,PV,41325
172,2013,QS,11863
173,2013,RD,73788
174,2013,RI,118823
175,2013,RN,67213
176,2013,RX,18938
177,2013,SA,69388
178,2013,SB,538
179,2013,SI,14225
180,2013,SJ,62200
181,2013,SL,26075
182,2013,SP,11245
183,2013,ST,37838
184,2013,SW,2575
185,2013,SWS,147925
186,2013,TA,15425
187,2013,TH,88100
188,2013,TOD,3300
189,2013,TRL,818494
190,2013,VV,13675
191,2013,WE,37488
192,2013,WP,16738
193,2013,WS,114088
194,2013,WY,43200
195,2013,YO,32475
196,2013,YW,176806
197,2014,AB,142159
198,2014,ACD,149898
199,2014,AD,16500
200,2014,AG,166023
201,2014,AH,11800
202,2014,AN,28629
203,2014,AP,18550
204,2014,BB,26263
205,2014,BC,24600
206,2014,BD,20538
207,2014,BE,41963
208,2014,BF,120551
209,2014,BL,174629
210,2014,BR,83069
211,2014,BRW,42088
212,2014,BUR,28275
213,2014,CC,18738
214,2014,CE,26025
215,2014,CED,258188
216,2014,CH,29988
217,2014,CL,496202
218,2014,CS,21663
219,2014,DA,38850
220,2014,DM,85624
221,2014,DO,118894
222,2014,DP,54988
223,2014,DR,49650
224,2014,DT,7150
225,2014,DU,59313
226,2014,EA,47626
227,2014,EB,6538
228,2014,EG,33350
229,2014,EN,23452
230,2014,ES,37063
231,2014,FH,20288
232,2014,FO,24150
233,2014,FP,51997
234,2014,FV,167961
235,2014,GE,23425
236,2014,GHP,50442
237,2014,GW,12138
238,2014,HB,8900
239,2014,HC,24713
240,2014,HIL,31088
241,2014,HP,44950
242,2014,HS,31213
243,2014,HW,34175
244,2014,JD,71413
245,2014,JO,28863
246,2014,JS,48763
247,2014,KE,39188
248,2014,LB,22363
249,2014,LE,23925
250,2014,LO,40625
251,2014,LS,183539
252,2014,MA,38513
253,2014,MAL,175932
254,2014,MAS,128615
255,2014,MCG,44396
256,2014,MD,64538
257,2014,MI,22058
258,2014,MP,5613
259,2014,MRV,30650
260,2014,MS,41363
261,2014,ND,106577
262,2014,NE,12938
263,2014,NT,23049
264,2014,OV,36975
265,2014,PA,71899
266,2014,PE,10063
267,2014,PK,133343
268,2014,PL,68339
269,2014,PM,19988
270,2014,PU,18088
271,2014,PV,22738
272,2014,QS,11150
273,2014,RD,74888
274,2014,RI,120461
275,2014,RN,68213
276,2014,RX,18875
277,2014,SA,66100
278,2014,SB,400
279,2014,SI,14225
280,2014,SJ,65038
281,2014,SL,25688
282,2014,SP,13242
283,2014,ST,27963
284,2014,SW,2488
285,2014,SWS,137354
286,2014,TA,14925
287,2014,TH,89775
288,2014,TOD,6225
289,2014,TRL,776844
290,2014,VV,14638
291,2014,WE,40363
292,2014,WP,19200
293,2014,WS,104775
294,2014,WY,37747
295,2014,YO,32850
296,2014,YW,185228
297,2015,AB,142187
298,2015,ACD,145984
299,2015,AD,16700
300,2015,AG,158536
301,2015,AH,11013
302,2015,AN,34038
303,2015,AP,16300
304,2015,BB,19700
305,2015,BC,24413
306,2015,BD,21100
307,2015,BE,48525
308,2015,BF,131127
309,2015,BL,179859
310,2015,BR,84937
311,2015,BRW,41463
312,2015,BUR,28463
313,2015,CC,18638
314,2015,CE,27188
315,2015,CED,243984
316,2015,CH,29788
317,2015,CL,477283
318,2015,CS,21188
319,2015,DA,37125
320,2015,DM,86525
321,2015,DO,109770
322,2015,DP,60138
323,2015,DR,43475
324,2015,DT,6688
325,2015,DU,54700
326,2015,EA,46633
327,2015,EB,6850
328,2015,EG,34325
329,2015,EN,19505
330,2015,ES,37650
331,2015,FH,21600
332,2015,FO,49513
333,2015,FP,50388
334,2015,FV,232297
335,2015,GE,25863
336,2015,GHP,49572
337,2015,GW,12600
338,2015,HB,8725
339,2015,HC,21838
340,2015,HIL,31550
341,2015,HP,43475
342,2015,HS,27700
343,2015,HW,21575
344,2015,JD,64375
345,2015,JO,25888
346,2015,JS,48325
347,2015,KE,37925
348,2015,LB,25550
349,2015,LE,25913
350,2015,LO,42075
351,2015,LS,176522
352,2015,MA,35975
353,2015,MAL,170307
354,2015,MAS,135937
355,2015,MCG,42142
356,2015,MD,55913
357,2015,MI,21475
358,2015,MP,6138
359,2015,MRV,32938
360,2015,MS,42363
361,2015,ND,112235
362,2015,NE,11325
363,2015,NT,22853
364,2015,OV,37863
365,2015,PA,75404
366,2015,PE,8113
367,2015,PK,127130
368,2015,PL,68269
369,2015,PM,18800
370,2015,PU,16450
371,2015,PV,22488
372,2015,QS,11100
373,2015,RD,73775
374,2015,RI,113426
375,2015,RN,65663
376,2015,RX,20063
377,2015,SA,67425
378,2015,SB,475
379,2015,SC,27325
380,2015,SI,13925
381,2015,SJ,57375
382,2015,SL,22051
383,2015,SP,14813
384,2015,ST,34800
385,2015,SW,2600
386,2015,SWS,138960
387,2015,TA,18588
388,2015,TH,79150
389,2015,TOD,5438
390,2015,TRL,901258
391,2015,VV,12950
392,2015,WE,46263
393,2015,WP,21425
394,2015,WS,106963
395,2015,WY,37263
396,2015,YO,32313
397,2015,YW,193860
398,2016,AB,140606
399,2016,ACD,149712
400,2016,AD,16338
401,2016,AG,103406
402,2016,AH,10988
403,2016,AN,29238
404,2016,AP,16563
405,2016,BB,19713
406,2016,BC,21763
407,2016,BD,18088
408,2016,BE,45825
409,2016,BF,121863
410,2016,BL,168193
411,2016,BR,84596
412,2016,BRW,40138
413,2016,BUR,24950
414,2016,CC,19413
415,2016,CE,28213
416,2016,CED,249984
417,2016,CH,30938
418,2016,CL,433079
419,2016,CS,21813
420,2016,DA,37150
421,2016,DM,88066
422,2016,DO,113701
423,2016,DP,59513
424,2016,DR,46688
425,2016,DT,6113
426,2016,DU,51225
427,2016,EA,45770
428,2016,EB,7325
429,2016,EG,30325
430,2016,EN,23800
431,2016,ES,18675
432,2016,FH,20350
433,2016,FO,48088
434,2016,FP,49910
435,2016,FV,224402
436,2016,GE,23825
437,2016,GHP,45802
438,2016,GW,12000
439,2016,HB,8825
440,2016,HC,19238
441,2016,HIL,29013
442,2016,HP,39725
443,2016,HS,21488
444,2016,HW,18000
445,2016,JD,64400
446,2016,JO,23288
447,2016,JS,47725
448,2016,KE,36150
449,2016,LB,24788
450,2016,LE,24488
451,2016,LO,47125
452,2016,LS,165859
453,2016,MA,35813
454,2016,MAL,167069
455,2016,MAS,142462
456,2016,MCG,37741
457,2016,MD,55175
458,2016,MI,23175
459,2016,MP,6250
460,2016,MRV,34313
461,2016,MS,41988
462,2016,ND,117080
463,2016,NE,11488
464,2016,NT,22585
465,2016,OV,37238
466,2016,PA,74158
467,2016,PE,7863
468,2016,PK,125610
469,2016,PL,69344
470,2016,PM,19938
471,2016,PU,16613
472,2016,PV,22363
473,2016,QS,11850
474,2016,RD,70700
475,2016,RI,107685
476,2016,RN,63363
477,2016,RX,19550
478,2016,SA,62700
479,2016,SB,550
480,2016,SC,52375
481,2016,SI,13838
482,2016,SJ,56575
483,2016,SL,23779
484,2016,SP,13988
485,2016,ST,34700
486,2016,SW,2125
487,2016,SWS,114635
488,2016,TA,14738
489,2016,TH,76875
490,2016,TOD,4263
491,2016,TRL,917498
492,2016,VV,12638
493,2016,WE,41188
494,2016,WP,24763
495,2016,WS,101650
496,2016,WY,36875
497,2016,YO,29425
498,2016,YW,172467
499,2017,AB,137999
500,2017,ACD,150308
501,2017,AD,15213
502,2017,AG,134675
503,2017,AH,11225
504,2017,AN,37370
505,2017,AP,7439
506,2017,BB,16113
507,2017,BC,19913
508,2017,BD,18675
509,2017,BE,40875
510,2017,BF,132868
511,2017,BL,171813
512,2017,BR,86113
513,2017,BRW,43341
514,2017,BUR,20938
515,2017,CC,16188
516,2017,CE,35950
517,2017,CED,197151
518,2017,CH,33700
519,2017,CS,20363
520,2017,DA,36600
521,2017,DM,90243
522,2017,DO,99707
523,2017,DP,54350
524,2017,DR,45450
525,2017,DT,6100
526,2017,DU,49488
527,2017,EA,43683
528,2017,EB,7175
529,2017,EG,25888
530,2017,EN,29604
531,2017,ES,24088
532,2017,FH,21500
533,2017,FO,47162
534,2017,FP,39266
535,2017,FV,215656
536,2017,GE,24038
537,2017,GHP,39670
538,2017,GW,11088
539,2017,HB,8038
540,2017,HC,19175
541,2017,HIL,27575
542,2017,HP,41913
543,2017,HS,7225
544,2017,HW,16050
545,2017,JD,63875
546,2017,JO,21488
547,2017,JS,39475
548,2017,KE,39175
549,2017,LB,19427
550,2017,LE,25313
551,2017,LO,46140
552,2017,LS,111803
553,2017,MA,32700
554,2017,MAL,158550
555,2017,MAS,121564
556,2017,MCG,36807
557,2017,MD,53466
558,2017,MI,24663
559,2017,MP,5738
560,2017,MRV,33900
561,2017,MS,39488
562,2017,ND,120673
563,2017,NE,10788
564,2017,NT,23478
565,2017,OV,33188
566,2017,PA,59407
567,2017,PE,8425
568,2017,PK,122844
569,2017,PL,66423
570,2017,PM,23100
571,2017,PU,12475
572,2017,PV,17593
573,2017,QS,10863
574,2017,RD,71813
575,2017,RI,82853
576,2017,RN,38557
577,2017,RX,17963
578,2017,SA,66513
579,2017,SB,463
580,2017,SC,63474
581,2017,SI,9487
582,2017,SJ,58200
583,2017,SL,23888
584,2017,SP,13775
585,2017,ST,31163
586,2017,SW,5525
587,2017,SWS,119109
588,2017,TA,13329
589,2017,TH,71175
590,2017,TOD,4375
591,2017,TRL,867212
592,2017,VV,12050
593,2017,WE,37813
594,2017,WP,23938
595,2017,WS,97263
596,2017,WY,36463
597,2017,YO,29238
598,2017,YW,157821
